chart_id,close_val,volume,high,chain_id,Liquity,coin_id,date_val
277,44.7,3517410,45.13,1,41,4,"2023-08-18 22:00:32"
278,0.00146234,16299.9,0.001492,1,1,7,"2023-08-18 22:00:48"
279,0.204943,2162760,0.211798,1,39,5,"2023-08-18 22:00:57"
280,44.7,3517410,45.13,1,41,4,"2023-08-18 22:01:17"
281,0.00146234,16299.9,0.001492,1,1,7,"2023-08-18 22:01:18"
282,0.204775,2160160,0.211798,1,39,5,"2023-08-18 22:01:47"
283,0.00146234,16299.9,0.001492,1,1,7,"2023-08-18 22:01:47"
284,44.66,4577360,45.13,1,41,4,"2023-08-18 22:02:02"
285,0.00146234,16299.9,0.001492,1,1,7,"2023-08-18 22:02:17"
286,0.204773,2156810,0.211798,1,39,5,"2023-08-18 22:02:37"
287,44.72,3508650,45.13,1,41,4,"2023-08-18 22:02:47"
288,0.00146243,16209.3,0.001492,1,1,7,"2023-08-18 22:02:48"
289,0.00146243,16209.3,0.001492,1,1,7,"2023-08-18 22:03:17"
290,0.204713,2156620,0.211798,1,39,5,"2023-08-18 22:03:27"
291,44.68,3422240,45.13,1,41,4,"2023-08-18 22:03:32"
292,0.00146243,16209.3,0.001492,1,1,7,"2023-08-18 22:03:48"
293,44.68,3422240,45.13,1,41,4,"2023-08-18 22:04:17"
294,0.204644,2156160,0.211798,1,39,5,"2023-08-18 22:04:17"
295,0.00146243,16209.3,0.001492,1,1,7,"2023-08-18 22:04:17"
296,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:04:48"
297,44.66,3488500,45.13,1,41,4,"2023-08-18 22:05:02"
298,0.204793,2154290,0.211798,1,39,5,"2023-08-18 22:05:07"
299,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:05:17"
300,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:05:48"
301,44.66,3487600,45.13,1,41,4,"2023-08-18 22:05:48"
302,0.204793,2154290,0.211798,1,39,5,"2023-08-18 22:05:57"
303,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:06:17"
304,44.66,3487600,45.13,1,41,4,"2023-08-18 22:06:33"
305,0.204772,2154030,0.211798,1,39,5,"2023-08-18 22:06:47"
306,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:06:48"
307,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:07:17"
308,44.72,3492770,45.13,1,41,4,"2023-08-18 22:07:18"
309,0.204828,2155250,0.211798,1,39,5,"2023-08-18 22:07:37"
310,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:07:48"
311,44.72,3492770,45.13,1,41,4,"2023-08-18 22:08:03"
312,0.00146128,16196.6,0.001492,1,1,7,"2023-08-18 22:08:17"
313,0.204714,2154290,0.211798,1,39,5,"2023-08-18 22:08:27"
314,44.69,3489590,45.13,1,41,4,"2023-08-18 22:08:48"
315,0.0014606,16280.5,0.001492,1,1,7,"2023-08-18 22:08:48"
316,0.204697,2154060,0.211798,1,39,5,"2023-08-18 22:09:17"
317,0.0014606,16280.5,0.001492,1,1,7,"2023-08-18 22:09:17"
318,44.67,3484870,45.13,1,41,4,"2023-08-18 22:09:33"
319,0.0014606,16280.5,0.001492,1,1,7,"2023-08-18 22:09:48"
320,0.204582,2152880,0.211798,1,39,5,"2023-08-18 22:10:07"
321,0.0014606,16280.5,0.001492,1,1,7,"2023-08-18 22:10:17"
322,44.67,3484870,45.13,1,41,4,"2023-08-18 22:10:18"
323,0.00146104,16285.4,0.001492,1,1,7,"2023-08-18 22:10:48"
324,0.204582,2152880,0.211798,1,39,5,"2023-08-18 22:10:57"
325,44.66,3399720,45.13,1,41,4,"2023-08-18 22:11:03"
326,0.00146104,16285.4,0.001492,1,1,7,"2023-08-18 22:11:17"
327,0.204577,2152830,0.211798,1,39,5,"2023-08-18 22:11:47"
328,44.69,3402030,45.13,1,41,4,"2023-08-18 22:11:48"
329,0.00146104,16285.4,0.001492,1,1,7,"2023-08-18 22:11:48"
330,0.00146104,16285.4,0.001492,1,1,7,"2023-08-18 22:12:18"
331,44.69,3402030,45.13,1,41,4,"2023-08-18 22:12:33"
332,0.204619,2153480,0.211798,1,39,5,"2023-08-18 22:12:37"
333,0.00146101,16285.2,0.001492,1,1,7,"2023-08-18 22:12:48"
334,0.00146101,16285.2,0.001492,1,1,7,"2023-08-18 22:13:17"
335,44.7,3484660,45.13,1,41,4,"2023-08-18 22:13:18"
336,0.204528,2154460,0.211798,1,39,5,"2023-08-18 22:13:27"
337,0.00145988,16272.5,0.001492,1,1,7,"2023-08-18 22:13:48"
338,44.65,3480000,45.13,1,41,4,"2023-08-18 22:14:03"
339,0.00145988,16272.5,0.001492,1,1,7,"2023-08-18 22:14:18"
340,0.204238,2153140,0.211798,1,39,5,"2023-08-18 22:14:18"
341,44.65,3480000,45.13,1,41,4,"2023-08-18 22:14:48"
342,0.00145988,16272.5,0.001492,1,1,7,"2023-08-18 22:14:48"
343,0.204188,2154850,0.211798,1,39,5,"2023-08-18 22:15:07"
344,0.00145988,16272.5,0.001492,1,1,7,"2023-08-18 22:15:18"
345,44.65,3478010,45.13,1,41,4,"2023-08-18 22:15:33"
346,0.00145988,16272.5,0.001492,1,1,7,"2023-08-18 22:15:48"
347,0.204188,2154850,0.211798,1,39,5,"2023-08-18 22:15:58"
348,44.67,3396510,45.13,1,41,4,"2023-08-18 22:16:18"
349,0.00145988,16272.5,0.001492,1,1,7,"2023-08-18 22:16:18"
350,0.204085,2156090,0.211798,1,39,5,"2023-08-18 22:16:47"
351,0.00146079,16282.6,0.001492,1,1,7,"2023-08-18 22:16:48"
352,44.67,3396510,45.13,1,41,4,"2023-08-18 22:17:03"
353,0.00146079,16282.6,0.001492,1,1,7,"2023-08-18 22:17:18"
354,0.203615,2150640,0.211798,1,39,5,"2023-08-18 22:17:37"
355,44.64,3477620,45.13,1,41,4,"2023-08-18 22:17:48"
356,0.00146079,16282.6,0.001492,1,1,7,"2023-08-18 22:17:48"
357,0.00146079,16282.6,0.001492,1,1,7,"2023-08-18 22:18:18"
358,0.203612,2150620,0.211798,1,39,5,"2023-08-18 22:18:28"
359,44.64,3477760,45.13,1,41,4,"2023-08-18 22:18:33"
360,0.00146079,16282.6,0.001492,1,1,7,"2023-08-18 22:18:48"
361,4.86,24197700,4.92,1,58,2,"2023-08-18 22:19:17"
362,0.203583,2150290,0.211798,1,39,5,"2023-08-18 22:19:17"
363,0.326341,63238400,0.331294,1,64,3,"2023-08-18 22:19:17"
364,44.63,3473130,45.13,1,41,4,"2023-08-18 22:19:17"
365,0.00146079,16282.6,0.001492,1,1,7,"2023-08-18 22:19:18"
366,0.00145906,16263.3,0.001492,1,1,7,"2023-08-18 22:19:48"
367,44.63,3473130,45.13,1,41,4,"2023-08-18 22:20:03"
368,0.203528,2150380,0.211798,1,39,5,"2023-08-18 22:20:07"
369,0.00145906,16263.3,0.001492,1,1,7,"2023-08-18 22:20:18"
370,44.57,4501330,45.13,1,41,4,"2023-08-18 22:20:48"
371,0.00145906,16263.3,0.001492,1,1,7,"2023-08-18 22:20:48"
372,0.203528,2150380,0.211798,1,39,5,"2023-08-18 22:20:57"
373,0.00145906,16263.3,0.001492,1,1,7,"2023-08-18 22:21:18"
374,44.63,3471350,45.13,1,41,4,"2023-08-18 22:21:33"
375,0.203681,2151710,0.211798,1,39,5,"2023-08-18 22:21:47"
376,0.00145891,16261.8,0.001492,1,1,7,"2023-08-18 22:21:48"
377,0.00145891,16261.8,0.001492,1,1,7,"2023-08-18 22:22:18"
378,44.63,3471350,45.13,1,41,4,"2023-08-18 22:22:18"
379,0.20375,2152340,0.211798,1,39,5,"2023-08-18 22:22:37"
380,0.00145891,16261.8,0.001492,1,1,7,"2023-08-18 22:22:48"
381,44.61,3469160,45.13,1,41,4,"2023-08-18 22:23:03"
382,0.00145891,16261.8,0.001492,1,1,7,"2023-08-18 22:23:18"
383,0.203762,2152500,0.211798,1,39,5,"2023-08-18 22:23:27"
384,44.61,3465650,45.13,1,41,4,"2023-08-18 22:23:48"
385,0.0014586,16349.6,0.001492,1,1,7,"2023-08-18 22:23:48"
386,0.203681,2151530,0.211798,1,39,5,"2023-08-18 22:24:17"
387,0.0014586,16349.6,0.001492,1,1,7,"2023-08-18 22:24:18"
388,44.61,3465650,45.13,1,41,4,"2023-08-18 22:24:33"
389,0.0014586,16349.6,0.001492,1,1,7,"2023-08-18 22:24:48"
390,0.203947,2155710,0.211798,1,39,5,"2023-08-18 22:25:07"
391,44.6,3088110,45.13,1,41,4,"2023-08-18 22:25:18"
392,0.0014586,16349.6,0.001492,1,1,7,"2023-08-18 22:25:18"
393,0.00145842,16256.2,0.001492,1,1,7,"2023-08-18 22:25:48"
394,0.203947,2155710,0.211798,1,39,5,"2023-08-18 22:25:57"
395,44.54,4495120,45.13,1,41,4,"2023-08-18 22:26:03"
396,0.00145842,16256.2,0.001492,1,1,7,"2023-08-18 22:26:18"
397,0.203975,2156000,0.211798,1,39,5,"2023-08-18 22:26:47"
398,44.63,3466190,45.13,1,41,4,"2023-08-18 22:26:48"
399,0.00145842,16256.2,0.001492,1,1,7,"2023-08-18 22:26:48"
400,0.00145842,16256.2,0.001492,1,1,7,"2023-08-18 22:27:18"
401,44.63,3466190,45.13,1,41,4,"2023-08-18 22:27:33"
402,0.203732,2163240,0.211798,1,39,5,"2023-08-18 22:27:37"
403,0.00145868,16259.2,0.001492,1,1,7,"2023-08-18 22:27:48"
404,44.62,3465600,45.13,1,41,4,"2023-08-18 22:28:18"
405,0.00145868,16259.2,0.001492,1,1,7,"2023-08-18 22:28:18"
406,0.203346,2159700,0.211798,1,39,5,"2023-08-18 22:28:28"
407,0.00145868,16259.2,0.001492,1,1,7,"2023-08-18 22:28:49"
408,44.63,3457560,45.13,1,41,4,"2023-08-18 22:29:03"
409,0.203355,2159880,0.211798,1,39,5,"2023-08-18 22:29:17"
410,0.00145868,16259.2,0.001492,1,1,7,"2023-08-18 22:29:18"
411,44.65,3459160,45.13,1,41,4,"2023-08-18 22:29:48"
412,0.00145852,16257.3,0.001492,1,1,7,"2023-08-18 22:29:48"
413,0.203367,2160570,0.211798,1,39,5,"2023-08-18 22:30:07"
414,0.00145852,16257.3,0.001492,1,1,7,"2023-08-18 22:30:18"
415,44.65,3459160,45.13,1,41,4,"2023-08-18 22:30:33"
416,0.00145852,16257.3,0.001492,1,1,7,"2023-08-18 22:30:48"
417,0.203367,2160570,0.211798,1,39,5,"2023-08-18 22:30:57"
418,0.00145852,16257.3,0.001492,1,1,7,"2023-08-18 22:31:18"
419,44.65,3457580,45.13,1,41,4,"2023-08-18 22:31:18"
420,0.203341,2159650,0.211798,1,39,5,"2023-08-18 22:31:47"
421,0.00145837,16255.7,0.001492,1,1,7,"2023-08-18 22:31:48"
422,44.65,3457580,45.13,1,41,4,"2023-08-18 22:32:03"
423,0.00145837,16255.7,0.001492,1,1,7,"2023-08-18 22:32:18"
424,44.6,3453620,45.13,1,41,4,"2023-08-18 22:32:50"
425,0.203334,2159130,0.211798,1,39,5,"2023-08-18 22:32:50"
426,0.00145837,16255.7,0.001492,1,1,7,"2023-08-18 22:32:51"
427,4.85,24065400,4.92,1,58,2,"2023-08-18 22:32:51"
428,0.326503,63521400,0.331294,1,64,3,"2023-08-18 22:32:51"
429,4.87,24096300,4.92,1,58,2,"2023-08-18 23:02:52"
430,0.203119,2171540,0.211798,1,39,5,"2023-08-18 23:03:20"
431,0.3272,62546100,0.331294,1,64,3,"2023-08-18 23:03:31"
432,0.200848,2107650,0.211798,1,39,5,"2023-08-19 09:09:43"
433,0.328125,50647600,0.330595,1,64,3,"2023-08-19 09:09:43"
434,4.9,17925700,4.92,1,58,2,"2023-08-19 09:09:43"
435,4.92,17861000,4.92,1,58,2,"2023-08-19 09:38:48"
436,0.201356,2109540,0.211798,1,39,5,"2023-08-19 09:39:17"
437,0.329414,62207500,0.330595,1,64,3,"2023-08-19 09:39:27"
438,0.00146404,16685.4,0.00147461,1,1,7,"2023-08-19 09:39:37"
439,44.75,2496780,45.03,1,41,4,"2023-08-19 09:39:47"
440,4.91,17886800,4.92,1,58,2,"2023-08-19 10:08:47"
441,0.200967,2105670,0.211798,1,39,5,"2023-08-19 10:09:47"
442,0.328852,47935400,0.330595,1,64,3,"2023-08-19 10:10:07"
443,0.00146406,16685.7,0.00147435,1,1,7,"2023-08-19 10:10:27"
444,44.76,3392720,45.03,1,41,4,"2023-08-19 10:10:47"
445,4.94,17305000,4.98,1,58,2,"2023-08-19 12:44:52"
446,0.201242,2127020,0.211798,1,39,5,"2023-08-19 12:44:52"
447,45.35,3247920,45.61,1,41,4,"2023-08-19 12:44:52"
448,0.332284,58668500,0.33375,1,64,3,"2023-08-19 12:44:52"
449,0.00147755,16839.3,0.00148864,1,1,7,"2023-08-19 12:44:54"
450,4.94,17290400,4.98,1,58,2,"2023-08-19 12:49:26"
451,0.201345,2130050,0.211798,1,39,5,"2023-08-19 12:49:28"
452,45.5,2285990,45.61,1,41,4,"2023-08-19 12:49:28"
453,0.33214,57796300,0.33375,1,64,3,"2023-08-19 12:49:28"
454,725.43,0,0,1,0,6,"2023-08-19 12:49:28"
455,0.00147755,16839.4,0.00148864,1,1,7,"2023-08-19 12:49:28"
456,725.43,0,0,1,0,6,"2023-08-19 12:50:03"
